14.2 NA 15.1
14.8 NA 15.7
12.2 NA 14.3
14.4 NA 15.4
14.4 NA 13.9
14.2 NA 16
14.6 NA 16.2
16.2 NA 14.3
17 NA 14.2
15.2 NA 15.5
17.2 NA 16.7
17.2 NA 15.2
18.2 NA 18.4
16.8 NA 14.2
15.4 NA 15.7
14.6 NA 13.4
15.4 NA 17.3
14.6 NA 19.4
15.5 NA 13.7
16.4 NA 18.5
15.4 NA 17.1
16 NA 15.9
18.6 NA 17.7
12.6 NA 15.8
10.8 NA 6.8
12.8 NA 11.5
11.4 NA 8.5
12.4 NA 15.2
14.2 NA 13.8
14.2 NA 13.2
15.4 NA 21.8
13 NA 12.9
15 NA 14.1
14.4 NA 15
16.4 NA 13.3
16.4 NA 17.4
15.8 NA 15.6
17.4 NA 18.3
16.4 NA 14.4
14.8 NA 12.8
17 NA 15.6
16.4 NA 14.9
18.6 NA 21.2
16.4 NA 19.6
15.6 NA 15.3
17.4 NA 16.7
17.4 NA 16.7
17 NA 17.1
16.2 NA 16.4
20.8 NA 21.4
20.4 NA 18.9
18.6 NA 16.9
18.4 NA 20.8
18 NA 16.9
20.4 NA 21
18.2 NA 18.1
20.4 NA 18.5
18.6 NA 19.8
20.8 NA 21.1
14.6 NA 17.4
13.2 NA 13.4
14.2 NA 13.5
14 NA 14.6
16.4 NA 14
15.6 NA 13.9
17.6 NA 18.6
14.8 NA 14.1
16.6 NA 16.5
20.2 NA 20
18.4 NA 17.1
16 NA 12
15.6 NA 16.3
12 NA 13.5
16.8 NA 14.2
11.4 NA 14.4
17.2 NA 18
18.2 NA 20.9
19.4 NA 17.5
21.4 NA 21.7
18.8 NA 18.6
18 NA 19.5
20.6 NA 19.4
13.4 NA 13.4
15.2 NA 11.6
21.4 NA 19.8
22.2 NA 22.5
19.6 NA 18.2
23.6 NA 23.5
22.6 NA 21.7
23.4 NA 24.6
25.2 NA 27.5
28.8 NA 27.2
24.4 NA 23.8
23 NA 25.9
20.6 NA 16.2
18.6 NA 18
19.8 NA 23.9
20.4 NA 24.8
16.2 NA 16.5
13.8 NA 12.1
20 NA 20.3
23.8 NA 22.5
21.6 NA 24.5
24.5 NA 22.9
25 NA 25.7
22.2 NA 23.4
21.4 NA 19.9
24.8 NA 26.5
24.4 NA 22.9
23.6 NA 24.9
27.4 NA 29.6
28 NA 26
25.2 NA 27.4
24.4 NA 23.4
24 NA 24.6
29.4 NA 29.8
24 NA 23.1
23 NA 23.5
26.6 NA 24.1
23.6 NA 23.3
25 NA 26.7
25.2 NA 20.9
24.4 NA 21.4
27.4 NA 25.1
24 NA 20.8
24.4 NA 25.2
25.8 NA 23.8
25.6 NA 21.3
22.2 NA 20.9
24.4 NA 23.6
23.4 NA 25.1
24.8 NA 22.6
23.8 NA 26.1
26 NA 26.8
23 NA 23.7
25.2 NA 23.5
23.8 NA 27.7
21.2 NA 20.9
24 NA 20.4
23.4 NA 23
23.6 NA 19.7
27.4 NA 26.8
24 NA 23.2
24 NA 25.4
26.6 NA 28.6
27 NA 25.5
25.8 NA 27.4
23.6 NA 26.4
18.4 NA 16.8
22.6 NA 21.3
23.4 NA 24.7
24.4 NA 24.8
24 NA 25.1
24.6 NA 27.4
25.8 NA 26.6
26.4 NA 28.5
27.6 NA 28.8
30 NA 30.9
30.4 NA 31.2
27.2 NA 29.8
26 NA 24
27.6 NA 25.4
25.6 NA 26.8
25.4 NA 25.2
25.8 NA 25.9
26.6 NA 28.1
25.4 NA 26.9
27.6 NA 27.1
27.2 NA 26.6
27.2 NA 27.3
27.4 NA 29.5
28.4 NA 29.3
29.2 NA 32.1
30.4 NA 30.4
30.6 NA 32.9
32.2 NA 34
33.2 NA 34.4
35.2 NA 36
33.4 NA 32.8
32 NA 31.8
30.6 NA 31.1
31.4 NA 31.5
31 NA 32.9
33 NA 32.8
32 NA 31.9
34.2 NA 33.2
31.2 NA 30.9
31 NA 30.9
34.6 NA 30
34 NA 31.3
33.6 NA 33.5
35.6 NA 35.1
35 NA 32.6
32 NA 28
32.6 NA 31.9
32.8 NA 34.1
36 NA 39.5
32.8 NA 32.7
31.6 NA 34.6
30.6 NA 30.8
32.2 36.6 32.4
31 33.6 31.6
30 29.5 28.3
31 32.1 30.9
30.2 29.4 32
30.6 29.6 29.1
30.2 28.6 29.6
30 28.8 27.7
29.6 32.9 30.3
30 29.9 30.8
31 31.2 32.3
31.6 32.1 29.2
34 36.5 34.2
32.6 31.6 30.7
35.6 33.6 35.6
30.6 34 33.3
30.2 29.3 29.2
29.4 28 30.8
29.4 26.9 27.9
30 27.4 29
27 25.9 27.9
27 28.2 25.6
27.8 30 24.4
28.4 29.8 30.9
27.2 26.5 27.9
27.4 27.5 26.2
28.2 26.8 24.2
31.2 29.8 35
29.5 31.3 36.3
